"Debit Payment","Bankeinzug / Lastschrift"
"Send bank data via mail","Bankdaten in der E-Mail mitsenden"
"Encrypt bank data in mail","Bankdaten in der E-Mail verschlüsseln"
"Custom text for checkout page","Benutzerdefinierter Text"
"Kontoinhaber","Kontoinhaber"
"Account holder","Kontoinhaber"
"Konto-Nummer","Konto-Nummer"
"Account number","Konto-Nummer"
"Bankleitzahl","Bankleitzahl"
"Bank code","Bankleitzahl"
"Bank name","Kreditinstitut"
"Account holder: %s","Kontoinhaber: %s"
"Account number: %s","Konto-Nummer: %s"
"Bank code: %s","Bankleitzahl: %s"
"Bank name: %s","Kreditinstitut: %s"
"-- will be filled in automatically --","-- wird automatisch ausgefüllt --"
"not available","nicht verfügbar"
"Bank not found","Bank nicht gefunden"
"Debit Account Data","Kontodaten"
"Edit Debit Account Data","Kontodaten bearbeiten"
"Debit account information was successfully saved","Kontodaten wurden erfolgreich gespeichert"
"Can't save customer","Kundendaten konnten nicht gespeichert werden"
"Please enter a valid bank code.","Bitte geben Sie eine gültige Bankleitzahl ein."
"Please enter a valid bank acount number.","Bitte geben Sie eine gültige Konto-Nummer ein."
"Save account data","Bankdaten speichern"
"Checkout only with valid BLZ","Bestellung nur mit gültiger BLZ möglich"
"Enabled for all customer groups","Für alle Kundengruppen aktiviert"
"Enabled only for specific customer groups","Nur für bestimmte Kunden- gruppen aktivieren"
"Set to ""no"" if you want to enable DebitPayment only for specific customer groups defined below.","Auf ""Nein"" umstellen, wenn Sie DebitPayment nur für untenstehende Kundengruppen aktivieren möchten"
"Minimum Orders Count","Mindestanzahl an Bestellungen"
"Default: ""0"" for disabled check | Minimum count of orders (in the past) needed for the customer to use this payment method.","Standard: ""0"" zum Deaktivieren des Checks | Mindestanzahl an Bestellungen (in der Vergangenheit) eines Kunden um Zahlungsart nutzen zu dürfen."
